algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,5,0.4710597569623399,0.43389830508474575,0.4896772888155208,0.288135593220339,0.5906424553641352,0.4372881355932203,0.5953848900678382,0.4169491525423729,0.6046316352209139,0.4305084745762712,0.6082588372521426,0.4305084745762712
datafly_shuffled,5,0.5311658646533505,0.4372881355932203,0.5642420892185649,0.4372881355932203,0.583801522613686,0.4474576271186441,0.5816906426805359,0.43389830508474575,0.6059387800197935,0.4372881355932203,0.5973191077685572,0.464406779661017
mondrian,5,0.5475917706430753,0.4372881355932203,0.5638556179188586,0.4135593220338983,0.6684673641830408,0.4745762711864407,0.6453262455274433,0.4542372881355932,0.6696498826183972,0.4779661016949153,0.6644768611151327,0.4949152542372882
datafly,6,0.457975548681915,0.4067796610169492,0.4725064844635072,0.3559322033898305,0.6301783389259678,0.4813559322033898,0.6012113341337454,0.4372881355932203,0.5948100184258714,0.4813559322033898,0.5940078443776878,0.4813559322033898
datafly_shuffled,6,0.4908623140146359,0.4372881355932203,0.5626545721161108,0.4406779661016949,0.5857361758507436,0.4508474576271186,0.5510531736732781,0.43389830508474575,0.5608472352846867,0.4169491525423729,0.5843372148717223,0.4372881355932203
mondrian,6,0.4891801292038795,0.4169491525423729,0.5843630335596844,0.4474576271186441,0.6754755650483778,0.4745762711864407,0.6495637046980068,0.4779661016949153,0.6536328301706485,0.4949152542372882,0.6698045586457683,0.5050847457627119
datafly,7,0.4607009804840361,0.4372881355932203,0.5750528175648082,0.3830508474576271,0.6230377177830818,0.4711864406779661,0.6267828682439921,0.4271186440677966,0.6325786597195148,0.42372881355932196,0.6332159318752258,0.42372881355932196
datafly_shuffled,7,0.5313198355752974,0.4372881355932203,0.5620974501789976,0.4033898305084746,0.5820279646555507,0.4372881355932203,0.5675020476311045,0.4372881355932203,0.5632112637203187,0.4372881355932203,0.5622162223536895,0.4372881355932203
mondrian,7,0.5169170020571435,0.4067796610169492,0.5649379868290546,0.3898305084745763,0.6712724437057291,0.4711864406779661,0.6293213235005074,0.4711864406779661,0.6375702694542694,0.4847457627118644,0.6683624878365375,0.4813559322033898
datafly,8,0.4974445810910268,0.4372881355932203,0.5523178828991154,0.4610169491525424,0.5910220171762873,0.4372881355932203,0.5969595855591697,0.4203389830508473,0.6041820591571162,0.4305084745762712,0.5963477659145451,0.4305084745762712
