Unable to init server: Could not connect: Connection refused
Unable to init server: Could not connect: Connection refused

(analysis.py:17551): Gdk-CRITICAL **: 15:52:34.350: gdk_cursor_new_for_display: assertion 'GDK_IS_DISPLAY (display)' failed
24 mondrian {'dm': 0.8, 'cm': 0.4160042395336513, 'entropy': 0.42707527810430673, 'acc': 0.37566137566137564}
25 datafly {'dm': 0.4666666666666667, 'cm': 0.5633280339162692, 'entropy': 0.683521341870835, 'acc': 0.36243386243386244}
25 mondrian {'dm': 0.8333333333333334, 'cm': 0.38897721250662426, 'entropy': 0.4348800090260513, 'acc': 0.3253968253968254}
26 datafly {'dm': 0.4666666666666667, 'cm': 0.566507684154743, 'entropy': 0.7184191253394289, 'acc': 0.3201058201058201}
26 mondrian {'dm': 0.8333333333333334, 'cm': 0.4128245892951775, 'entropy': 0.4328015246055802, 'acc': 0.4312169312169312}
27 datafly {'dm': 0.4666666666666667, 'cm': 0.5320614732379438, 'entropy': 0.6735672760975209, 'acc': 0.3862433862433862}
27 mondrian {'dm': 0.8, 'cm': 0.4552199258081611, 'entropy': 0.41703814366331876, 'acc': 0.4603174603174603}
28 datafly {'dm': 0.4666666666666667, 'cm': 0.5320614732379438, 'entropy': 0.6885179906877762, 'acc': 0.3783068783068783}
28 mondrian {'dm': 0.8333333333333334, 'cm': 0.383147853736089, 'entropy': 0.3803611669483607, 'acc': 0.3492063492063492}
29 datafly {'dm': 0.3333333333333333, 'cm': 0.5818759936406995, 'entropy': 0.784410284456158, 'acc': 0.3915343915343915}
29 mondrian {'dm': 0.8666666666666667, 'cm': 0.41865394806571277, 'entropy': 0.40842561413254636, 'acc': 0.42592592592592593}
30 datafly {'dm': 0.3333333333333333, 'cm': 0.5384207737148914, 'entropy': 0.810329819545365, 'acc': 0.3201058201058201}
30 mondrian {'dm': 0.8, 'cm': 0.45204027556968734, 'entropy': 0.45042215953451836, 'acc': 0.328042328042328}
31 datafly {'dm': 0.2, 'cm': 0.5866454689984102, 'entropy': 0.8374476140849348, 'acc': 0.3915343915343915}
31 mondrian {'dm': 0.8333333333333334, 'cm': 0.39215686274509803, 'entropy': 0.376056782639164, 'acc': 0.43915343915343913}
32 datafly {'dm': 0.3333333333333333, 'cm': 0.5384207737148914, 'entropy': 0.8115726868531419, 'acc': 0.3201058201058201}
32 mondrian {'dm': 0.7666666666666667, 'cm': 0.4578696343402226, 'entropy': 0.5325645193029169, 'acc': 0.3201058201058201}
33 datafly {'dm': 0.4666666666666667, 'cm': 0.5707472178060413, 'entropy': 0.7117265082531455, 'acc': 0.36507936507936506}
33 mondrian {'dm': 0.8333333333333334, 'cm': 0.41812400635930047, 'entropy': 0.4052619619872072, 'acc': 0.3544973544973545}
34 datafly {'dm': 0.4666666666666667, 'cm': 0.519872813990461, 'entropy': 0.6630328027820468, 'acc': 0.373015873015873}
34 mondrian {'dm': 0.8666666666666667, 'cm': 0.45204027556968734, 'entropy': 0.4754882843688672, 'acc': 0.4021164021164021}
35 datafly {'dm': 0.2, 'cm': 0.5866454689984102, 'entropy': 0.8374476140849348, 'acc': 0.3915343915343915}
35 mondrian {'dm': 0.9, 'cm': 0.4350821409644939, 'entropy': 0.41799786260111177, 'acc': 0.4708994708994709}
36 datafly {'dm': 0.4666666666666667, 'cm': 0.5707472178060413, 'entropy': 0.7504784804735148, 'acc': 0.36507936507936506}
36 mondrian {'dm': 0.8, 'cm': 0.3932167461579226, 'entropy': 0.4360920094651993, 'acc': 0.3412698412698413}
37 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7563242790372708, 'acc': 0.41798941798941797}
37 mondrian {'dm': 0.8333333333333334, 'cm': 0.48913619501854794, 'entropy': 0.5483960463468408, 'acc': 0.3333333333333333}
38 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7571230661394696, 'acc': 0.36243386243386244}
38 mondrian {'dm': 0.8, 'cm': 0.43773184949655536, 'entropy': 0.49061622429966995, 'acc': 0.42592592592592593}
39 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7920787019879938, 'acc': 0.34656084656084657}
39 mondrian {'dm': 0.8, 'cm': 0.40646528881823, 'entropy': 0.41274262007573437, 'acc': 0.34656084656084657}
40 datafly {'dm': 0.3333333333333333, 'cm': 0.5384207737148914, 'entropy': 0.8115726868531419, 'acc': 0.3201058201058201}
40 mondrian {'dm': 0.8666666666666667, 'cm': 0.4239533651298357, 'entropy': 0.40122108181244126, 'acc': 0.5052910052910053}
41 datafly {'dm': 0.3333333333333333, 'cm': 0.5786963434022258, 'entropy': 0.7827932944230968, 'acc': 0.36507936507936506}
41 mondrian {'dm': 0.8, 'cm': 0.4117647058823529, 'entropy': 0.4836968585855013, 'acc': 0.3253968253968254}
42 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7565960359884133, 'acc': 0.3862433862433862}
42 mondrian {'dm': 0.9, 'cm': 0.456809750927398, 'entropy': 0.4340553022582119, 'acc': 0.3968253968253968}
43 datafly {'dm': 0.4666666666666667, 'cm': 0.5564387917329093, 'entropy': 0.6968338800097424, 'acc': 0.41534391534391535}
43 mondrian {'dm': 0.8, 'cm': 0.4271330153683095, 'entropy': 0.4576982003487661, 'acc': 0.3333333333333333}
44 datafly {'dm': 0.4666666666666667, 'cm': 0.4970853206147324, 'entropy': 0.7312846991871844, 'acc': 0.3201058201058201}
44 mondrian {'dm': 0.8, 'cm': 0.397456279809221, 'entropy': 0.3890027943412138, 'acc': 0.43386243386243384}
45 datafly {'dm': 0.4666666666666667, 'cm': 0.5145733969263381, 'entropy': 0.6724557181429562, 'acc': 0.42063492063492064}
45 mondrian {'dm': 0.8666666666666667, 'cm': 0.3942766295707472, 'entropy': 0.4361577705505594, 'acc': 0.3994708994708995}
46 datafly {'dm': 0.3333333333333333, 'cm': 0.5686274509803921, 'entropy': 0.7496340113381967, 'acc': 0.41534391534391535}
46 mondrian {'dm': 0.8666666666666667, 'cm': 0.41865394806571277, 'entropy': 0.4086218132432528, 'acc': 0.3888888888888889}
47 datafly {'dm': 0.4666666666666667, 'cm': 0.530471648118707, 'entropy': 0.7094886222607258, 'acc': 0.3306878306878307}
47 mondrian {'dm': 0.8333333333333334, 'cm': 0.4615792262851086, 'entropy': 0.4888427753406169, 'acc': 0.31746031746031744}
48 datafly {'dm': 0.4666666666666667, 'cm': 0.5654478007419184, 'entropy': 0.6598880306570885, 'acc': 0.3412698412698413}
48 mondrian {'dm': 0.8333333333333334, 'cm': 0.43667196608373077, 'entropy': 0.4211934668518029, 'acc': 0.38095238095238093}
49 datafly {'dm': 0.4666666666666667, 'cm': 0.5320614732379438, 'entropy': 0.6735672760975209, 'acc': 0.41798941798941797}
49 mondrian {'dm': 0.9, 'cm': 0.3783783783783784, 'entropy': 0.35947947848074324, 'acc': 0.4365079365079365}
50 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7768191962317892, 'acc': 0.3148148148148148}
50 mondrian {'dm': 0.7666666666666667, 'cm': 0.44992050874403816, 'entropy': 0.5243453219681232, 'acc': 0.38095238095238093}
51 datafly {'dm': 0.4666666666666667, 'cm': 0.5315315315315315, 'entropy': 0.7017967376798165, 'acc': 0.3201058201058201}
51 mondrian {'dm': 0.8, 'cm': 0.42130365659777425, 'entropy': 0.4629670846865153, 'acc': 0.42592592592592593}
52 datafly {'dm': 0.3333333333333333, 'cm': 0.5834658187599364, 'entropy': 0.8282228205862087, 'acc': 0.3201058201058201}
52 mondrian {'dm': 0.8333333333333334, 'cm': 0.4122946475887652, 'entropy': 0.3996132563778492, 'acc': 0.3994708994708995}
53 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7299176734879087, 'acc': 0.4021164021164021}
53 mondrian {'dm': 0.8666666666666667, 'cm': 0.43667196608373077, 'entropy': 0.4535976835799292, 'acc': 0.32275132275132273}
54 datafly {'dm': 0.3333333333333333, 'cm': 0.5945945945945946, 'entropy': 0.8739613949044588, 'acc': 0.3544973544973545}
54 mondrian {'dm': 0.8333333333333334, 'cm': 0.4112347641759406, 'entropy': 0.3983472679419462, 'acc': 0.4603174603174603}
55 datafly {'dm': 0.3333333333333333, 'cm': 0.5384207737148914, 'entropy': 0.810329819545365, 'acc': 0.3201058201058201}
55 mondrian {'dm': 0.8666666666666667, 'cm': 0.4175940646528882, 'entropy': 0.43236059467850624, 'acc': 0.42328042328042326}
56 datafly {'dm': 0.2, 'cm': 0.5866454689984102, 'entropy': 0.8374476140849348, 'acc': 0.3915343915343915}
56 mondrian {'dm': 0.8333333333333334, 'cm': 0.38791732909379967, 'entropy': 0.34783293955493194, 'acc': 0.455026455026455}
57 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7839582228002334, 'acc': 0.3306878306878307}
57 mondrian {'dm': 0.7666666666666667, 'cm': 0.415474297827239, 'entropy': 0.4331635172950896, 'acc': 0.4312169312169312}
58 datafly {'dm': 0.4, 'cm': 0.5930047694753577, 'entropy': 0.8186084211169234, 'acc': 0.335978835978836}
58 mondrian {'dm': 0.8333333333333334, 'cm': 0.3937466878643349, 'entropy': 0.3665692295903838, 'acc': 0.5158730158730159}
59 datafly {'dm': 0.4666666666666667, 'cm': 0.5691573926868044, 'entropy': 0.7325115251708361, 'acc': 0.35714285714285715}
59 mondrian {'dm': 0.8333333333333334, 'cm': 0.424483306836248, 'entropy': 0.46234133371868974, 'acc': 0.4497354497354497}
60 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7839582228002334, 'acc': 0.3306878306878307}
60 mondrian {'dm': 0.8333333333333334, 'cm': 0.46952835188129305, 'entropy': 0.517071731768585, 'acc': 0.31746031746031744}
61 datafly {'dm': 0.3333333333333333, 'cm': 0.5659777424483307, 'entropy': 0.7526323310718299, 'acc': 0.4021164021164021}
61 mondrian {'dm': 0.8, 'cm': 0.43667196608373077, 'entropy': 0.47395673365022595, 'acc': 0.36772486772486773}
62 datafly {'dm': 0.4666666666666667, 'cm': 0.5320614732379438, 'entropy': 0.6621222551917455, 'acc': 0.37566137566137564}
62 mondrian {'dm': 0.8333333333333334, 'cm': 0.4260731319554849, 'entropy': 0.41344456808693314, 'acc': 0.3544973544973545}
63 datafly {'dm': 0.3333333333333333, 'cm': 0.5384207737148914, 'entropy': 0.7754993042796424, 'acc': 0.3201058201058201}
63 mondrian {'dm': 0.7666666666666667, 'cm': 0.4462109167991521, 'entropy': 0.4846955183478658, 'acc': 0.35978835978835977}
64 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7299176734879087, 'acc': 0.3888888888888889}
64 mondrian {'dm': 0.8666666666666667, 'cm': 0.4133545310015898, 'entropy': 0.4079360576401725, 'acc': 0.46296296296296297}
65 datafly {'dm': 0.4666666666666667, 'cm': 0.5574986751457339, 'entropy': 0.6557364872494995, 'acc': 0.42063492063492064}
65 mondrian {'dm': 0.8333333333333334, 'cm': 0.38950715421303655, 'entropy': 0.3842993535017939, 'acc': 0.35714285714285715}
66 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7563242790372708, 'acc': 0.3835978835978836}
66 mondrian {'dm': 0.8, 'cm': 0.42130365659777425, 'entropy': 0.4499814925441687, 'acc': 0.34656084656084657}
67 datafly {'dm': 0.3333333333333333, 'cm': 0.5744568097509274, 'entropy': 0.7920787019879938, 'acc': 0.3333333333333333}
67 mondrian {'dm': 0.8, 'cm': 0.447800741918389, 'entropy': 0.42597502411999305, 'acc': 0.4417989417989418}
68 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7571230661394696, 'acc': 0.36243386243386244}
68 mondrian {'dm': 0.8333333333333334, 'cm': 0.4430312665606783, 'entropy': 0.4196347197542506, 'acc': 0.36507936507936506}
69 datafly {'dm': 0.4, 'cm': 0.5527291997880233, 'entropy': 0.7598547323081009, 'acc': 0.3783068783068783}
69 mondrian {'dm': 0.8, 'cm': 0.43826179120296765, 'entropy': 0.42690851797590285, 'acc': 0.3835978835978836}
70 datafly {'dm': 0.3333333333333333, 'cm': 0.5320614732379438, 'entropy': 0.7563242790372708, 'acc': 0.3835978835978836}
70 mondrian {'dm': 0.8333333333333334, 'cm': 0.42289348171701113, 'entropy': 0.3763386641504776, 'acc': 0.48412698412698413}
71 datafly {'dm': 0.3333333333333333, 'cm': 0.5818759936406995, 'entropy': 0.7663029082181748, 'acc': 0.3915343915343915}
71 mondrian {'dm': 0.8, 'cm': 0.41865394806571277, 'entropy': 0.4042422010510612, 'acc': 0.49206349206349204}
72 datafly {'dm': 0.4666666666666667, 'cm': 0.5707472178060413, 'entropy': 0.7478552215139257, 'acc': 0.36243386243386244}
72 mondrian {'dm': 0.8, 'cm': 0.43667196608373077, 'entropy': 0.4139984719994824, 'acc': 0.4523809523809524}
