algo,no,knn_auroc,knn_acc,knn_pca_auroc,knn_pca_acc,rf_auroc,rf_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,21,0.4435348607851622,0.4203389830508473,0.4737948863201825,0.2745762711864407,0.5923247534697792,0.4372881355932203,0.579408371009932,0.4169491525423729,0.6048544171459564,0.4305084745762712,0.6075551983008259,0.4305084745762712
datafly_shuffled,21,0.4992333928096932,0.4372881355932203,0.5550516294338311,0.4406779661016949,0.5783925252340912,0.4372881355932203,0.573733163694782,0.4372881355932203,0.5865989772151142,0.4271186440677966,0.5990016447942983,0.4305084745762712
mondrian,21,0.5763610935116641,0.42372881355932196,0.6249911164153105,0.4779661016949153,0.6533706593809231,0.4406779661016949,0.633375048002797,0.4406779661016949,0.6542039542835719,0.4542372881355932,0.6401166478424658,0.4711864406779661
datafly,22,0.4960146026965905,0.4372881355932203,0.5594928337672671,0.4271186440677966,0.600524105114566,0.4305084745762712,0.5492829318831305,0.4203389830508473,0.6218670489534133,0.4610169491525424,0.6186183736768006,0.4508474576271186
datafly_shuffled,22,0.4710597569623399,0.43389830508474575,0.4896772888155208,0.288135593220339,0.589866189679406,0.4271186440677966,0.5791721929687154,0.4101694915254237,0.6046316352209139,0.4305084745762712,0.6082588372521426,0.4305084745762712
mondrian,22,0.5135444378310553,0.42372881355932196,0.6038970116810908,0.4440677966101695,0.6521502511542465,0.4915254237288136,0.5925361606936264,0.4372881355932203,0.6460496001271133,0.4745762711864407,0.6371808194089162,0.4779661016949153
datafly,23,0.5235148897744617,0.4372881355932203,0.5272866189613704,0.37627118644067803,0.579327485031308,0.4372881355932203,0.4974489129276341,0.4372881355932203,0.5578015813717068,0.4372881355932203,0.5621383995254132,0.4372881355932203
datafly_shuffled,23,0.4733983654686846,0.4271186440677966,0.5502106837512956,0.4305084745762712,0.53815963796736,0.4372881355932203,0.5557653961119277,0.4372881355932203,0.5969887253594103,0.43389830508474575,0.5954624420575112,0.43389830508474575
mondrian,23,0.5345877757633887,0.43389830508474575,0.6164196353600879,0.4542372881355932,0.683459364174199,0.4610169491525424,0.6522044164594226,0.4372881355932203,0.6192974796306583,0.4271186440677966,0.6585669906426324,0.4813559322033898
datafly,24,0.4607009804840361,0.4372881355932203,0.5750528175648082,0.3830508474576271,0.6243197293055235,0.4745762711864407,0.6071639134708589,0.4067796610169492,0.6325786597195148,0.42372881355932196,0.6332159318752258,0.42372881355932196
