,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc
1,0.6578103134795167,0.5084745762711864,0.7319685023644777,0.5694915254237288,0.71194939869424,0.5322033898305085
2,0.6530845329764889,0.5220338983050847,0.6821635923794584,0.5084745762711864,0.7051780559650114,0.5254237288135594
3,0.6481034131946347,0.5152542372881356,0.675804244893626,0.45084745762711864,0.707109021249622,0.5322033898305085
4,0.6500411981753014,0.49830508474576274,0.667644168378934,0.4576271186440678,0.6917533102470075,0.5050847457627119
5,0.6473931327325727,0.488135593220339,0.684460674237093,0.4915254237288136,0.6790250292716112,0.4847457627118644
6,0.6380596691126595,0.5016949152542373,0.6636978033647046,0.46779661016949153,0.6757231166999585,0.47796610169491527
7,0.6371370071844566,0.4847457627118644,0.6817400442832353,0.4847457627118644,0.6743569173520405,0.47796610169491527
8,0.6452741425443512,0.4915254237288136,0.6757509669094598,0.46779661016949153,0.6856125165609003,0.4847457627118644
9,0.6232679795740951,0.4711864406779661,0.6458695196161007,0.41694915254237286,0.672015119068183,0.4745762711864407
10,0.5931509174461418,0.4576271186440678,0.6612325074282372,0.4610169491525424,0.6757816486473026,0.49491525423728816
11,0.6119540835415962,0.4406779661016949,0.6808610178564193,0.5220338983050847,0.6756356022547224,0.47796610169491527
12,0.5579489177105285,0.4406779661016949,0.6753043152256294,0.46440677966101696,0.6746544889350945,0.46440677966101696
13,0.6207060540161008,0.4711864406779661,0.7024546768864083,0.49491525423728816,0.6705519762144014,0.46779661016949153
14,0.6143725114256712,0.46779661016949153,0.6819826983684546,0.4915254237288136,0.6817527869990098,0.49830508474576274
15,0.6032895233912741,0.4745762711864407,0.7116270126905059,0.511864406779661,0.6788703196548722,0.47796610169491527
16,0.6228396885036204,0.4576271186440678,0.6847759643408873,0.4711864406779661,0.6748288970340962,0.49830508474576274
17,0.6117797754828539,0.4847457627118644,0.6621735836656338,0.43389830508474575,0.6815168417651192,0.5084745762711864
18,0.615148475499318,0.46779661016949153,0.5813254003834532,0.43389830508474575,0.6761994415799006,0.49491525423728816
19,0.6046141072242257,0.4440677966101695,0.7001619378373091,0.44745762711864406,0.6742089253450875,0.48135593220338985
20,0.5897918385607932,0.4610169491525424,0.6428300744934811,0.4440677966101695,0.6752341806495029,0.4847457627118644
21,0.5897918385607932,0.4610169491525424,0.6539466703446161,0.45084745762711864,0.6752341806495029,0.4847457627118644
22,0.5570625431435602,0.44745762711864406,0.6589229560678139,0.45084745762711864,0.683800930782942,0.46779661016949153
23,0.6099381152391391,0.47796610169491527,0.6695491670538211,0.5152542372881356,0.6867936248434114,0.4745762711864407
24,0.5958596309467543,0.43389830508474575,0.642052291533664,0.46779661016949153,0.6863211691828713,0.47796610169491527
