dataset,lr_acc,lr_auroc,knn_pca_acc,knn_pca_auroc,rf_pca_acc,rf_pca_auroc
birth_randoms,0.7779661016949152,0.8338983050847457,0.8310734463276837,0.8711864406779661,0.7242937853107345,0.8587570621468926
ring_randoms,0.8423728813559322,0.8367231638418079,0.7,0.6694915254237288,0.5463276836158192,0.6141242937853107
adult_randoms,0.7796610169491526,0.8858757062146893,0.6638418079096046,0.7225988700564971,0.7186440677966102,0.8372881355932204
