k_val,accuracy
1,0.9398648648648649
3,0.6601351351351351
5,0.6418918918918919
7,0.6344594594594595
9,0.6128378378378379
11,0.6351351351351351
13,0.6277027027027027
15,0.581081081081081
17,0.6081081081081081
19,0.5898648648648649
21,0.6175675675675676
23,0.6222972972972973
25,0.6101351351351352
27,0.6013513513513513
29,0.5885135135135136
31,0.5952702702702702
33,0.5918918918918918
35,0.5844594594594594
37,0.597972972972973
39,0.6013513513513513
41,0.5918918918918918
43,0.581081081081081
45,0.5972972972972973
47,0.6047297297297297
49,0.5945945945945946
100,0.5837837837837838
350,0.5675675675675675
600,0.5222972972972973
850,0.5560810810810811
1100,0.527027027027027
1350,0.4506756756756757
1600,0.5277027027027027
1850,0.47162162162162163
2100,0.5114864864864865
2350,0.4871621621621622
2600,0.4871621621621622
2850,0.4871621621621622
3100,0.4871621621621622
3350,0.4871621621621622
3600,0.5114864864864865
3850,0.4945945945945946
7400,0.4945945945945946
