(3.47583688671195:10.411401108088],(12.4892474660827:18.85349494509787],1
(3.47583688671195:9.6600065084176],[-7.493730161959119:8.31800099226492],1
(3.47583688671195:10.411401108088],(10.9282701280333:12.4892474660827],1
(9.6600065084176:18.869838111837957],[-7.493730161959119:8.31800099226492],1
(12.4304649437197:18.869838111837957],(10.9282701280333:18.85349494509787],1
(3.47583688671195:11.4554959626225],(8.31800099226492:10.9282701280333],1
(10.411401108088:12.4304649437197],(10.9282701280333:18.85349494509787],1
(3.47583688671195:10.411401108088],(12.4892474660827:18.85349494509787],1
(3.47583688671195:10.411401108088],(10.9282701280333:12.4892474660827],1
(9.6600065084176:18.869838111837957],[-7.493730161959119:8.31800099226492],1
[-6.375738621199575:3.47583688671195],(4.28624022694432:6.97220698694052],1
(10.411401108088:12.4304649437197],(10.9282701280333:18.85349494509787],1
(3.47583688671195:9.6600065084176],[-7.493730161959119:8.31800099226492],1
(12.4304649437197:18.869838111837957],(10.9282701280333:18.85349494509787],1
[-6.375738621199575:3.47583688671195],(6.97220698694052:18.85349494509787],1
(10.411401108088:12.4304649437197],(10.9282701280333:18.85349494509787],1
(11.4554959626225:18.869838111837957],(8.31800099226492:10.9282701280333],1
(3.47583688671195:10.411401108088],(12.4892474660827:18.85349494509787],1
(10.411401108088:12.4304649437197],(10.9282701280333:18.85349494509787],1
(3.47583688671195:11.4554959626225],(8.31800099226492:10.9282701280333],1
(9.6600065084176:18.869838111837957],[-7.493730161959119:8.31800099226492],1
(12.4304649437197:18.869838111837957],(10.9282701280333:18.85349494509787],1
(3.47583688671195:11.4554959626225],(8.31800099226492:10.9282701280333],1
[-6.375738621199575:3.47583688671195],(6.97220698694052:18.85349494509787],1
(11.4554959626225:18.869838111837957],(8.31800099226492:10.9282701280333],1
(3.47583688671195:11.4554959626225],(8.31800099226492:10.9282701280333],1
(12.4304649437197:18.869838111837957],(10.9282701280333:18.85349494509787],1
(3.47583688671195:10.411401108088],(10.9282701280333:12.4892474660827],1
(11.4554959626225:18.869838111837957],(8.31800099226492:10.9282701280333],1
(3.47583688671195:10.411401108088],(12.4892474660827:18.85349494509787],1
(-2.75986118647002:3.47583688671195],(1.08735270784712:4.28624022694432],0
[-6.375738621199575:-1.13227505167803],(-2.79359769890721:1.08735270784712],0
[-6.375738621199575:3.47583688671195],(4.28624022694432:6.97220698694052],0
(-1.13227505167803:3.47583688671195],(-2.67750406310903:1.08735270784712],0
(-1.13227505167803:3.47583688671195],[-7.493730161959119:-2.67750406310903],0
(-2.75986118647002:3.47583688671195],(1.08735270784712:4.28624022694432],0
[-6.375738621199575:3.47583688671195],(4.28624022694432:6.97220698694052],0
[-6.375738621199575:3.47583688671195],(6.97220698694052:18.85349494509787],0
[-6.375738621199575:-1.13227505167803],(-2.79359769890721:1.08735270784712],0
(-1.13227505167803:3.47583688671195],(-2.67750406310903:1.08735270784712],0
[-6.375738621199575:-2.75986118647002],(1.08735270784712:4.28624022694432],0
(-1.13227505167803:3.47583688671195],[-7.493730161959119:-2.67750406310903],0
[-6.375738621199575:-1.13227505167803],(-2.79359769890721:1.08735270784712],0
(3.47583688671195:9.6600065084176],[-7.493730161959119:8.31800099226492],0
(3.47583688671195:9.6600065084176],[-7.493730161959119:8.31800099226492],0
(-1.13227505167803:3.47583688671195],(-2.67750406310903:1.08735270784712],0
[-6.375738621199575:-1.13227505167803],[-7.493730161959119:-2.79359769890721],0
[-6.375738621199575:3.47583688671195],(6.97220698694052:18.85349494509787],0
[-6.375738621199575:-1.13227505167803],[-7.493730161959119:-2.79359769890721],0
(-2.75986118647002:3.47583688671195],(1.08735270784712:4.28624022694432],0
[-6.375738621199575:3.47583688671195],(4.28624022694432:6.97220698694052],0
(-2.75986118647002:3.47583688671195],(1.08735270784712:4.28624022694432],0
[-6.375738621199575:-2.75986118647002],(1.08735270784712:4.28624022694432],0
[-6.375738621199575:3.47583688671195],(4.28624022694432:6.97220698694052],0
(-1.13227505167803:3.47583688671195],[-7.493730161959119:-2.67750406310903],0
[-6.375738621199575:-1.13227505167803],[-7.493730161959119:-2.79359769890721],0
[-6.375738621199575:-1.13227505167803],[-7.493730161959119:-2.79359769890721],0
(-1.13227505167803:3.47583688671195],(-2.67750406310903:1.08735270784712],0
[-6.375738621199575:-2.75986118647002],(1.08735270784712:4.28624022694432],0
(9.6600065084176:18.869838111837957],[-7.493730161959119:8.31800099226492],0
