,c_metric,k_val
0,0.0,1.0
1,0.21216216216216216,2.0
2,0.24513513513513513,3.0
3,0.2785135135135135,4.0
4,0.287972972972973,5.0
5,0.287972972972973,6.0
6,0.28783783783783784,7.0
7,0.3204054054054054,8.0
8,0.3204054054054054,9.0
9,0.3204054054054054,10.0
10,0.3204054054054054,11.0
11,0.3204054054054054,12.0
12,0.3204054054054054,13.0
13,0.3204054054054054,14.0
14,0.34702702702702704,15.0
15,0.34797297297297297,16.0
16,0.34797297297297297,17.0
17,0.34797297297297297,18.0
18,0.34797297297297297,19.0
19,0.34797297297297297,20.0
20,0.34797297297297297,21.0
21,0.34797297297297297,22.0
22,0.34797297297297297,23.0
23,0.34797297297297297,24.0
24,0.34797297297297297,25.0
25,0.34797297297297297,26.0
26,0.34797297297297297,27.0
27,0.34797297297297297,28.0
28,0.34945945945945944,29.0
29,0.3633783783783784,30.0
30,0.3641891891891892,31.0
31,0.3641891891891892,32.0
32,0.3641891891891892,33.0
33,0.3641891891891892,34.0
34,0.3641891891891892,35.0
35,0.3641891891891892,36.0
36,0.3641891891891892,37.0
37,0.3641891891891892,38.0
38,0.3641891891891892,39.0
39,0.3641891891891892,40.0
40,0.3641891891891892,41.0
41,0.3641891891891892,42.0
42,0.3641891891891892,43.0
43,0.3641891891891892,44.0
44,0.3641891891891892,45.0
45,0.3641891891891892,46.0
46,0.3641891891891892,47.0
47,0.3641891891891892,48.0
48,0.3641891891891892,49.0
49,0.3641891891891892,50.0
50,0.37972972972972974,100.0
51,0.40486486486486484,350.0
52,0.41527027027027025,600.0
53,0.41527027027027025,850.0
54,0.43824324324324326,1100.0
55,0.43824324324324326,1350.0
56,0.43824324324324326,1600.0
57,0.4358108108108108,1850.0
58,0.43824324324324326,2100.0
59,0.43824324324324326,2350.0
60,0.43824324324324326,2600.0
61,0.43824324324324326,2850.0
62,0.43824324324324326,3100.0
63,0.43824324324324326,3350.0
64,0.43824324324324326,3600.0
65,0.49513513513513513,3850.0
66,0.49513513513513513,4100.0
67,0.49513513513513513,4350.0
68,0.49513513513513513,4600.0
69,0.49513513513513513,4850.0
70,0.49513513513513513,5100.0
71,0.49513513513513513,5350.0
72,0.49513513513513513,5600.0
73,0.49513513513513513,5850.0
74,0.49513513513513513,6100.0
75,0.49513513513513513,6350.0
76,0.49513513513513513,6600.0
77,0.49513513513513513,6850.0
78,0.49513513513513513,7100.0
79,0.49513513513513513,7350.0
80,0.49513513513513513,7400.0
