k_val,accuracy
1,?
2,?
3,0.5844594594594594
4,0.5175675675675676
5,0.4972972972972973
6,0.4972972972972973
7,0.49932432432432433
8,0.49932432432432433
9,0.5837837837837838
10,?
11,0.5054054054054054
12,?
