algo,no,precision,dm,cm,entropy,discern,ilm,acc
datafly,99,0.016666666666666833,0.04,0.39635135135135136,0.9848529080029056,0.5701570854638423,0.0485205547652916,0.5054054054054054
datafly_shuffled,99,0.033333333333333215,0.0675,0.3547297297297297,0.9538033560034282,0.19943772826880932,0.04889651493598863,0.5054054054054054
mondrian,99,0.41833877703614575,0.5925,0.22716216216216215,0.8207667626085864,0.0005284149013878743,0.04514710170697017,0.4945945945945946
datafly,100,0.016666666666666833,0.025,0.37972972972972974,0.9850497442806329,0.67091376917458,0.04802519559032717,0.5054054054054054
datafly_shuffled,100,0.0416610360360361,0.0875,0.3614864864864865,0.9542994834394452,0.2318692111029949,0.047999004267425316,0.5054054054054054
mondrian,100,0.3958542418937154,0.5475,0.3178378378378378,0.8334189018275655,0.0009277940102264425,0.04668728662873399,0.4945945945945946
datafly,101,0.033328828828828934,0.0825,0.3132432432432433,0.9753012523916472,0.5381929875821768,0.04639068278805119,0.5054054054054054
datafly_shuffled,101,0.04999324324324339,0.1325,0.3860810810810811,0.911786216366082,0.03302688093498905,0.04799528805120913,0.5054054054054054
mondrian,101,0.4364016759674654,0.645,0.2118918918918919,0.808253488314967,0.00033601168736303866,0.04538358819345669,0.4945945945945946
datafly,102,0.03331981981981968,0.08,0.3375675675675676,0.9649778326785604,0.3136115412710007,0.04606952347083925,0.5054054054054054
datafly_shuffled,102,0.01666666666666661,0.03,0.4197297297297297,0.969800926901762,0.29885390796201605,0.04857091038406828,0.5263513513513514
mondrian,102,0.4302634405660724,0.6275,0.21243243243243246,0.8092720919858124,0.00033316289262235214,0.045961219772403986,0.4945945945945946
datafly,103,0.033324324324324306,0.0875,0.34702702702702704,0.9625671393817998,0.29289879474068664,0.04600993954480796,0.5054054054054054
datafly_shuffled,103,0.059064189189189424,0.1325,0.3608108108108108,0.9075396823177054,0.027681555880204527,0.04763138335704125,0.5054054054054054
mondrian,103,0.4164133566765147,0.61,0.2398648648648649,0.8208128598205483,0.0005253834915997078,0.04618177453769561,0.4945945945945946
datafly,104,0.016666666666666385,0.03,0.415945945945946,0.9768289600381824,0.4237102994886779,0.04797329302987198,0.5054054054054054
datafly_shuffled,104,0.04242004504504493,0.05,0.3691891891891892,0.9383220323432814,0.09703940832724617,0.048327702702702695,0.5054054054054054
mondrian,104,0.4396860980413613,0.65,0.20486486486486485,0.8085788269352666,0.00033546384222059896,0.04581328236130865,0.4945945945945946
datafly,105,0.04463063063063066,0.09,0.3517567567567568,0.9665069648399331,0.4011750182615048,0.046193100995732574,0.5054054054054054
datafly_shuffled,105,0.049986486486486514,0.135,0.3228378378378378,0.8999973462776749,0.020116837107377647,0.04708198790896159,0.65
mondrian,105,0.39256416639311376,0.545,0.2695945945945946,0.8332171105558117,0.0008927319211102994,0.04656621621621615,0.4945945945945946
datafly,106,0.01666666666666661,0.03,0.3994594594594595,0.983018134125724,0.5168501460920379,0.04815501422475106,0.5054054054054054
datafly_shuffled,106,0.03333333333333355,0.0575,0.37945945945945947,0.9384549313688656,0.08891289262235208,0.04781730085348506,0.6081081081081081
mondrian,106,0.42073804573804574,0.5875,0.245945945945946,0.8213336265479974,0.000522936449963477,0.04612149715504978,0.4945945945945946
datafly,107,0.04353941441441445,0.0925,0.29905405405405405,0.9577517855369228,0.27871508400292183,0.045875693456614484,0.5054054054054054
