algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly,21,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,21,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,21,0.6450319360228164,0.13183807439824946,0.8633540372670807,0.001071497828574712,0.4978307521935157,0.06330557613112804,0.4450480484583768,0.04249896631626698,0.001026694045174538,0.0010846141436865158,0.04026900614633817,0.28336946065789176,0.5269081795397584,0.7226775956284153
datafly,22,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,22,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,22,0.6814251677670375,0.14305251641137856,0.8944099378881988,0.0018539111990002347,0.40068045771644056,0.07215856772496837,0.4529228611996504,0.039151609111791316,0.0017699115044247785,0.0018116583752692574,0.044801018400663965,0.2688704042847853,0.5836257309941519,0.7404371584699454
datafly,23,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,23,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,23,0.6246975475728842,0.12226477024070022,0.9192546583850932,0.0006894933660204263,0.5241571386830803,0.06499064484559154,0.4314786701079047,0.0357740339007186,0.0006613756613756613,0.0006650972141169086,0.03674243001180537,0.27512607149021273,0.5209538999012683,0.7131147540983607
datafly,24,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,24,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,24,0.6409179905703544,0.13265864332603938,0.9130434782608696,0.0010704504211176496,0.4369571382032153,0.0699968380829424,0.4478057358405821,0.02958959129126253,0.0010256410256410254,0.0010504854670663306,0.042140825625373364,0.28429357536635924,0.5703804966962861,0.755464480874317
datafly,25,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,25,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,25,0.6343844302275129,0.12171772428884026,0.8944099378881988,0.0006866504029226857,0.5824086084025403,0.058372135201758275,0.3588968999877509,0.04948152886057053,0.0006578947368421054,0.0006804904690739161,0.034752608580814456,0.2734374343565787,0.498640540745804,0.6980874316939891
datafly,26,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,26,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,26,0.6472873089188615,0.1337527352297593,0.8881987577639752,0.001062520050371321,0.5074400088934954,0.06257349830908737,0.4330422064546672,0.03458426145422101,0.001017293997965412,0.0010553474196989742,0.03952234419039008,0.2819554708937551,0.6168755221386801,0.7295081967213115
datafly,27,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
datafly_shuffled,27,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
mondrian,27,0.6650366228635064,0.14305251641137856,0.8695652173913043,0.0014626296989691116,0.4497864401384575,0.06890478287277038,0.4494195575104693,0.03675293492388727,0.0013986013986013988,0.001410541372642673,0.04208422068700007,0.2788035220084451,0.5404875825928457,0.7622950819672131
datafly,28,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,28,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,28,0.6273553123455374,0.12281181619256018,0.9316770186335404,0.0006657022537814402,0.5233256768227401,0.061142664958466986,0.4336137877832572,0.03080703168250928,0.0006385696040868454,0.0006528483909902027,0.03741065138941645,0.26824019646294744,0.5702741702741703,0.7049180327868853
datafly,29,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,29,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,29,0.6490643111933225,0.1323851203501094,0.8944099378881988,0.0010530933832577603,0.5211059139079766,0.061479354991274236,0.4536470412467156,0.046052730210297564,0.0010101010101010099,0.0010037468218492749,0.038291586791012994,0.2814974303614031,0.5292169818485608,0.7349726775956285
datafly,30,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,30,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,30,0.6501808384897371,0.13293216630196936,0.9006211180124224,0.0010800267178679333,0.5069463345788493,0.06399335673782343,0.4248540147653047,0.0425739893965678,0.0010319917440660474,0.0010768128530395924,0.03892289347113567,0.2716022880169469,0.5252829042302727,0.7390710382513661
datafly,31,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,31,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,31,0.6483482317426488,0.13594091903719913,0.9130434782608696,0.0010640163467385527,0.4887024773823692,0.06410391417627727,0.4440822720084984,0.030748265081653924,0.0010183299389002038,0.001057320896061541,0.04050487555951625,0.2876143883417667,0.5552973342447027,0.7295081967213115
datafly,32,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
datafly_shuffled,32,0.9189839650703618,0.15071115973741794,0.06211180124223601,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515214,0.4968628820345712,0.0625,0.03230990153172866,0.06032504515060549,0.2840270030813544,0.6756284651021494,0.8551912568306009
mondrian,32,0.6662718551732117,0.1460612691466083,0.9006211180124224,0.0014575422913205235,0.4223170155284269,0.07113824610343764,0.4504498741869433,0.034555625693173636,0.0013966480446927375,0.0014117839965722293,0.04345685848740901,0.2847307891900607,0.532133363712311,0.7650273224043715
datafly,33,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,33,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,33,0.6468890669283106,0.13402625820568928,0.906832298136646,0.001086161532973584,0.5274647752526221,0.05901098101706225,0.4464658458278618,0.04149761239959302,0.0010395010395010393,0.0010340165308928286,0.03898340487592666,0.28279267844893397,0.5551910078225868,0.7773224043715847
datafly,34,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,34,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,34,0.6166018880308777,0.12281181619256018,0.9192546583850932,0.000687697810379748,0.5485802158112276,0.056040616229550574,0.4248540147653047,0.026412719432781017,0.0006578947368421054,0.00061956953007685,0.03695835223792117,0.2659799601659819,0.5277891698944329,0.7418032786885246
datafly,35,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,35,0.9538345156283848,0.15043763676148794,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515214,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,35,0.6539491868118897,0.1337527352297593,0.8819875776397516,0.0010599763465470268,0.5079637574059146,0.06370824547236058,0.4584674195730421,0.03714002665529778,0.0010152284263959394,0.0010641928908615788,0.03969680825228528,0.2785541052670856,0.5629832156147946,0.7144808743169399
datafly,36,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
datafly_shuffled,36,0.9189395970337082,0.15071115973741794,0.06211180124223601,0.26496356219086514,0.3331509846827133,0.06212879024695218,0.24361128299515214,0.4968766448059121,0.05882352941176471,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.8551912568306009
mondrian,36,0.615006947677489,0.1198030634573304,0.8881987577639752,0.0006764755876255093,0.5512427273813028,0.059826230324844826,0.4315247736356607,0.031130362650571945,0.0006489292667099287,0.0006586336334741383,0.03664620903349911,0.2713899148435044,0.5234753550543024,0.7254098360655737
