algo,no,entropy,cm,dm,discern,precision,ilm,hellinger,bivariate_corr,avg_eq_size,ambiguity,granularity,dse,auroc,lr_acc
datafly,124,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
datafly_shuffled,124,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
mondrian,124,0.6264242651710232,0.11980306345733041,0.9130434782608695,0.0006796178099966962,0.48547630054043456,0.06408516069949241,0.4314786701079047,0.02267469199132549,0.000651890482398957,0.000698776249630575,0.04045086371848517,0.2831170533927007,0.5885015569226095,0.75
datafly,125,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
datafly_shuffled,125,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
mondrian,125,0.6216523721249865,0.12253829321663019,0.9254658385093167,0.0006818622545475439,0.527665128166575,0.06102468625580376,0.40337813282743673,0.030229566337019773,0.0006531678641410842,0.0006541927130919956,0.03654509505755734,0.25545189451435246,0.5588668641300221,0.7404371584699454
datafly,126,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
datafly_shuffled,126,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
mondrian,126,0.6589007769678118,0.1422319474835886,0.8633540372670807,0.0015124563679979315,0.4306599701524052,0.06923690611705104,0.4314786701079047,0.03602222380789856,0.0014492753623188406,0.0015132514225199042,0.043990959543052946,0.2816035944065375,0.5185083921926027,0.7923497267759563
datafly,127,0.9538345156283848,0.15043763676148797,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515217,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
datafly_shuffled,127,0.9538345156283848,0.15043763676148797,0.049689440993788817,0.5267346264526045,0.2665937272064187,0.06832977696834609,0.24361128299515217,0.4965748130734481,0.1,0.06275642778993436,0.06373471512452714,0.2842141706338697,0.6532847269689375,0.8579234972677595
mondrian,127,0.65036560056507,0.1351203501094092,0.8757763975155279,0.0010649141245588918,0.521026160366574,0.06313743441151322,0.4248540147653047,0.033585456378258105,0.001019367991845056,0.0009880689410497168,0.03930381530910613,0.28348449284098176,0.562406015037594,0.744535519125683
datafly,128,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
datafly_shuffled,128,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
mondrian,128,0.6634785682228411,0.14168490153172866,0.8198757763975155,0.0014476667352967933,0.49936910166097226,0.06219553368802406,0.45250768172884204,0.0375362088176425,0.0013850415512465372,0.0013947405635126766,0.040992544033846647,0.28161350731054435,0.5259056732740943,0.7527322404371585
datafly,129,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
datafly_shuffled,129,0.9189395970337082,0.15071115973741794,0.062111801242236024,0.26496356219086514,0.3331509846827133,0.06212879024695217,0.24361128299515217,0.496876644805912,0.058823529411764705,0.03177995076586433,0.06031567792540241,0.28402631262796635,0.6755297334244703,0.855191256830601
mondrian,129,0.6233073111007358,0.12308533916849015,0.9254658385093167,0.0006733333652543225,0.5064784463361784,0.06339901453936897,0.4314786701079047,0.025745581675841775,0.0006459948320413437,0.0006595460222402236,0.03740382513280231,0.27312167236473206,0.5054606212500949,0.7226775956284153
datafly,130,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
datafly_shuffled,130,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
mondrian,130,0.6588804821068879,0.1386761487964989,0.8633540372670807,0.0014541008096758902,0.4918163645117537,0.060576449001153845,0.4466493931792787,0.05155187314031256,0.0013888888888888887,0.0014234395497974696,0.04116842137221926,0.26739809257207003,0.4985494038125617,0.7308743169398907
datafly,131,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
datafly_shuffled,131,0.9189839650703618,0.15071115973741794,0.062111801242236024,0.2649641607094121,0.33296863603209337,0.06214577925166832,0.24361128299515217,0.4968628820345712,0.0625,0.03230990153172866,0.060325045150605494,0.2840270030813544,0.6756284651021494,0.855191256830601
