algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,1,0.5919723551302498,0.8565573770491803,0.6671907040328092,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,1,0.5919723551302498,0.8565573770491803,0.6675096832991569,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,1,0.5997265892002733,0.8551912568306009,0.6890711627553733,0.8565573770491803,0.5382395382395383,0.7199453551912568,0.6702969545074808,0.8565573770491803
datafly,2,0.5919723551302498,0.8565573770491803,0.6696362117414749,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,2,0.5919723551302498,0.8565573770491803,0.6716108452950559,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,2,0.5256246677299309,0.8551912568306009,0.6576820839978735,0.8565573770491803,0.6375636059846586,0.773224043715847,0.6473456368193211,0.8565573770491803
datafly,3,0.6489557226399332,0.8565573770491803,0.6543176122123491,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,3,0.6489557226399332,0.8565573770491803,0.6545758335232019,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,3,0.5482721956406166,0.8579234972677595,0.6653072074124706,0.8565573770491803,0.6425761373129794,0.7636612021857924,0.6621098200045569,0.8551912568306009
datafly,4,0.6489557226399332,0.8565573770491803,0.6529201792359687,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,4,0.6489557226399332,0.8565573770491803,0.6547884863674337,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,4,0.5364319890635679,0.8551912568306009,0.6565048986101617,0.8565573770491803,0.5103668261562999,0.7117486338797814,0.6890863522442471,0.8565573770491803
datafly,5,0.5919723551302498,0.8565573770491803,0.6689678742310321,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,5,0.5919723551302498,0.8565573770491803,0.6675704412546517,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,5,0.5426293005240374,0.8538251366120219,0.6698716488190173,0.8565573770491803,0.5810890863522442,0.7295081967213115,0.6334624439887598,0.8565573770491803
datafly,6,0.5919723551302498,0.8565573770491803,0.6675400622769043,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,6,0.5919723551302498,0.8565573770491803,0.6696817802080959,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,6,0.5543783701678439,0.8497267759562842,0.6837092731829574,0.8565573770491803,0.5360370623528519,0.6762295081967213,0.6825852510063037,0.8565573770491803
datafly,7,0.5790309106098579,0.8565573770491803,0.6676008202323991,0.8579234972677595,0.6756284651021494,0.8551912568306009,0.6783245993772309,0.8551912568306009
datafly_shuffled,7,0.5790309106098579,0.8565573770491803,0.6676311992101465,0.8579234972677595,0.6756284651021494,0.8551912568306009,0.6783245993772309,0.8551912568306009
mondrian,7,0.5779904306220095,0.8551912568306009,0.6169514695830486,0.8565573770491803,0.4435634540897699,0.7349726775956285,0.6290574922153869,0.8579234972677595
datafly,8,0.5919723551302498,0.8565573770491803,0.6723399407609935,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,8,0.5919723551302498,0.8565573770491803,0.6703197387407913,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,8,0.5359459254196096,0.8551912568306009,0.7077238550922763,0.8565573770491803,0.4680185311764259,0.7144808743169399,0.6898762056656792,0.8538251366120219
datafly,9,0.6489557226399332,0.8565573770491803,0.6545758335232019,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,9,0.6489557226399332,0.8565573770491803,0.6543783701678438,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,9,0.5660287081339713,0.8510928961748634,0.6904078377762588,0.8565573770491803,0.5083770031138453,0.73224043715847,0.6774208247892458,0.8565573770491803
datafly,10,0.6489557226399332,0.8565573770491803,0.6544087491455912,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,10,0.6489557226399332,0.8565573770491803,0.6538315485683907,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,10,0.616374269005848,0.842896174863388,0.6485152274625958,0.8565573770491803,0.6219336219336219,0.7923497267759563,0.6560795929216983,0.8565573770491803
datafly,11,0.6489557226399332,0.8565573770491803,0.6540593909014961,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,11,0.6489557226399332,0.8565573770491803,0.6540593909014961,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,11,0.5572795625427205,0.8401639344262295,0.6845446950710108,0.8565573770491803,0.5146350725298094,0.7295081967213115,0.6778765094554567,0.8565573770491803
datafly,12,0.5790309106098579,0.8565573770491803,0.6676615781878941,0.8579234972677595,0.6756284651021494,0.8551912568306009,0.6783245993772309,0.8551912568306009
datafly_shuffled,12,0.5790309106098579,0.8565573770491803,0.667707146654515,0.8579234972677595,0.6756284651021494,0.8551912568306009,0.6783245993772309,0.8551912568306009
mondrian,12,0.5296650717703348,0.8565573770491803,0.5345712766765398,0.8565573770491803,0.5728260044049518,0.8032786885245902,0.6230880230880229,0.8565573770491803
datafly,13,0.6489557226399332,0.8565573770491803,0.6529657477025897,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,13,0.6489557226399332,0.8565573770491803,0.6523581681476418,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,13,0.551492367281841,0.8538251366120219,0.68630667578036,0.8565573770491803,0.5056732740943267,0.73224043715847,0.6867775499354446,0.8592896174863388
datafly,14,0.6489557226399332,0.8565573770491803,0.6540593909014961,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,14,0.6489557226399332,0.8565573770491803,0.6524948735475051,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,14,0.5176274018379282,0.8551912568306009,0.6462823725981621,0.8565573770491803,0.6214323688007898,0.7814207650273224,0.6104351788562314,0.8565573770491803
datafly,15,0.5919723551302498,0.8565573770491803,0.6696058327637274,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
datafly_shuffled,15,0.5919723551302498,0.8565573770491803,0.6676919571656414,0.8565573770491803,0.6755297334244703,0.8551912568306009,0.6716260347839296,0.8551912568306009
mondrian,15,0.6115516062884484,0.8456284153005464,0.6852130325814537,0.8565573770491803,0.5967950178476494,0.773224043715847,0.668170426065163,0.8551912568306009
