algo,no,knn_pca_auroc,knn_pca_acc,rf_pca_auroc,rf_pca_acc,lr_auroc,lr_acc,lr_pca_auroc,lr_pca_acc
datafly,180,0.6489557226399332,0.8565573770491803,0.6523581681476418,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,180,0.6489557226399332,0.8565573770491803,0.6546365914786967,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,180,0.6005392268550163,0.855191256830601,0.6462671831092883,0.8565573770491803,0.5690590111642743,0.7472677595628415,0.6878256246677299,0.8565573770491803
datafly,181,0.5919723551302498,0.8565573770491803,0.6693931799194957,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,181,0.5919723551302498,0.8565573770491803,0.6687856003645477,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,181,0.5900660742766006,0.8469945355191257,0.6591250854408749,0.8565573770491803,0.49785068732437154,0.6666666666666666,0.6623832308042835,0.8565573770491803
datafly,182,0.5919723551302498,0.8565573770491803,0.6696362117414749,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,182,0.5919723551302498,0.8565573770491803,0.6676311992101465,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,182,0.6046783625730994,0.8579234972677595,0.6638566112250324,0.8565573770491803,0.5980709349130402,0.7459016393442623,0.6729095465937571,0.8442622950819673
datafly,183,0.579030910609858,0.8565573770491803,0.6676463886990203,0.8579234972677595,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
datafly_shuffled,183,0.579030910609858,0.8565573770491803,0.6676311992101465,0.8579234972677595,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
datafly,184,0.5919723551302498,0.8565573770491803,0.6680261259208627,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,184,0.5919723551302498,0.8565573770491803,0.6724310776942355,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,184,0.6247284878863827,0.8483606557377049,0.6071542492595123,0.8565573770491803,0.5903091060985798,0.7486338797814208,0.6769803296119086,0.8483606557377049
datafly,185,0.579030910609858,0.8565573770491803,0.6641376167691957,0.8579234972677595,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
datafly_shuffled,185,0.579030910609858,0.8565573770491803,0.6675400622769043,0.8565573770491803,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
mondrian,185,0.5758259284575075,0.8483606557377049,0.6505582137161086,0.8565573770491803,0.5504822662717399,0.7486338797814208,0.666195792511582,0.855191256830601
datafly,186,0.6489557226399332,0.8565573770491803,0.654621401989823,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,186,0.6489557226399332,0.8565573770491803,0.6543783701678438,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,186,0.5424698108908634,0.8442622950819673,0.6600744284954811,0.8565573770491803,0.5865573023467759,0.7691256830601093,0.6781954887218045,0.8565573770491803
datafly,187,0.5919723551302498,0.8565573770491803,0.6675096832991568,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,187,0.5919723551302498,0.8565573770491803,0.6681476418318523,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,187,0.5681020733652312,0.8456284153005464,0.669172932330827,0.8565573770491803,0.5620566567934989,0.7117486338797814,0.6580238474975317,0.842896174863388
datafly,188,0.6489557226399332,0.8565573770491803,0.6543024227234753,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,188,0.6489557226399332,0.8565573770491803,0.6545758335232019,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,188,0.5536037062352852,0.8510928961748634,0.6396597554492292,0.8565573770491803,0.6257309941520468,0.7513661202185792,0.6483481430849851,0.8565573770491803
datafly,189,0.6489557226399332,0.8565573770491803,0.6543935596567175,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,189,0.6489557226399332,0.8565573770491803,0.6547884863674337,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,189,0.5466013518645098,0.855191256830601,0.657552973342447,0.8565573770491803,0.6013822434875067,0.7513661202185792,0.662504746715273,0.8592896174863388
datafly,190,0.5919723551302498,0.8565573770491803,0.6722791828054986,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,190,0.5919723551302498,0.8565573770491803,0.6688007898534215,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,190,0.5681476418318523,0.8524590163934426,0.6645249487354751,0.8565573770491803,0.5604617604617605,0.7308743169398907,0.6483937115516063,0.8565573770491803
datafly,191,0.5919723551302498,0.8565573770491803,0.6676160097212729,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
datafly_shuffled,191,0.5919723551302498,0.8565573770491803,0.6675704412546517,0.8565573770491803,0.6755297334244703,0.855191256830601,0.6716260347839296,0.855191256830601
mondrian,191,0.5106706159337738,0.8538251366120219,0.6885395306447938,0.8565573770491803,0.49059011164274324,0.6994535519125683,0.6601655654287233,0.855191256830601
datafly,192,0.6489557226399332,0.8565573770491803,0.6543024227234753,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,192,0.6489557226399332,0.8565573770491803,0.6540897698792435,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,192,0.6184248500037973,0.855191256830601,0.6673350041771093,0.8565573770491803,0.5049289891395154,0.6994535519125683,0.6674109516214779,0.8565573770491803
datafly,193,0.6489557226399332,0.8565573770491803,0.6541809068124858,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
datafly_shuffled,193,0.6489557226399332,0.8565573770491803,0.6544087491455912,0.8565573770491803,0.6532847269689375,0.8579234972677595,0.6368041315409736,0.8579234972677595
mondrian,193,0.5125161388319283,0.8565573770491803,0.6476342371079213,0.8565573770491803,0.5007670691881219,0.7062841530054644,0.6582668793195109,0.8565573770491803
datafly,194,0.579030910609858,0.8565573770491803,0.6676008202323992,0.8565573770491803,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
datafly_shuffled,194,0.579030910609858,0.8565573770491803,0.6676311992101465,0.8579234972677595,0.6756284651021494,0.855191256830601,0.6783245993772309,0.855191256830601
