algo,no,precision,dm,cm,entropy,discern,ilm,auroc,lr_acc
datafly,100,0.24517881219194126,0.10365853658536585,0.2348650619985412,0.8325016742012605,0.14648614256878426,0.05687090524177571,0.7805388816532708,0.6998176694845019
datafly,101,0.2029084609773888,0.07317073170731707,0.24888933094622373,0.8831420499126491,0.25374288876976114,0.05948538461414055,0.7229548905183021,0.29520968009282283
datafly,103,0.12520445151736181,0.06097560975609756,0.24162853922153704,0.9543179103152751,0.5522647829695244,0.06325097522160819,0.5680998467328187,0.7503729487817007
datafly,104,0.12498756713745773,0.04878048780487805,0.24152907632119885,0.9542978940115642,0.5522647521917111,0.06325160697275363,0.6801644204269893,0.7498756837394331
datafly,105,0.19649172247640523,0.06097560975609756,0.24892248524633645,0.8718720665322724,0.24560538004265725,0.060107856598756955,0.7433743964655005,0.5929056853969833
datafly,106,0.1886023804787481,0.06707317073170732,0.24892248524633645,0.8781082395803029,0.26128140409228223,0.057784761070705994,0.6273771883747203,0.5007458975634013
datafly,107,0.16345069955573222,0.12195121951219512,0.2383462635103773,0.8454350585175444,0.1581326297841797,0.05894015065756592,0.7560196584948153,0.60964694181999
datafly,108,0.15472835576774313,0.07317073170731707,0.24892248524633645,0.9326619622241585,0.4857617527025481,0.06029908008946808,0.6662847459578479,0.49411569699983426
datafly,109,0.18899746922175809,0.06707317073170732,0.24892248524633645,0.8864854069699889,0.2828199508345538,0.05793252345195025,0.6236483345685853,0.5035637328029173
datafly,110,0.16450334858431137,0.04878048780487805,0.20675021550295072,0.9421779430832452,0.501258199203953,0.06105096503272572,0.7347902830046125,0.7800430963036632
datafly,111,0.18859224999815816,0.12195121951219512,0.23506398779921756,0.9094598303076998,0.3893328060830114,0.05551293341160983,0.6939005418318666,0.5009116525774905
datafly,112,0.24411142791886764,0.12804878048780488,0.22823420197599628,0.8035828677886542,0.10238516357095287,0.05833807788162806,0.781982471415311,0.5327366152826123
datafly,113,0.15309688791636278,0.06097560975609756,0.24892248524633645,0.8754773453433865,0.2598930982780732,0.06044933578189972,0.7419718218646787,0.6756174374274821
datafly,114,0.18858580332869168,0.11585365853658537,0.2421258537232279,0.9110611079302906,0.39017939380467503,0.056926211264052166,0.6064336237974285,0.5007458975634013
datafly,115,0.1684749574519815,0.09146341463414634,0.22544924076652742,0.9107850530061439,0.3722578864530052,0.059550631872441674,0.7171986644887856,0.7636333499088347
datafly,116,0.16455031717613777,0.054878048780487805,0.20675021550295072,0.9422982381526888,0.501266588356478,0.06105804064555465,0.6268406093269915,0.7792143212332173
datafly,117,0.22293457919825532,0.09146341463414634,0.24892248524633645,0.7834169639013935,0.1738743139015367,0.05865409781758449,0.7824000345390831,0.5862754848334162
datafly,118,0.22750066308600225,0.06097560975609756,0.2487235594456601,0.8365842612938102,0.19032468794671936,0.056799421336166826,0.7715944104250465,0.5415216310293386
datafly,119,0.17234019627345665,0.06707317073170732,0.24892248524633645,0.8645669142538313,0.2526232139079873,0.06400664056372014,0.7100925359602225,0.5188131940991215
datafly,120,0.1388750745971753,0.12804878048780488,0.24020290431668986,0.9095780688033965,0.38860476570431435,0.06213147849849296,0.6242255689954164,0.5010774075915796
datafly,121,0.15440924562915814,0.06097560975609756,0.24892248524633645,0.8800287573372164,0.2861013317907142,0.06162759715422898,0.6525744569088959,0.4990883474225095
datafly,122,0.21706396569635078,0.10365853658536585,0.24892248524633645,0.8420812653765114,0.212194159935438,0.06085088354862067,0.7190311787181682,0.3455992043759324
datafly,123,0.18390690272528343,0.08536585365853659,0.24166169352164976,0.8813816353545859,0.25311008373891125,0.05821607021272121,0.7776142128327086,0.7246809215978783
datafly,124,0.13888428412498444,0.08536585365853659,0.2300245341820834,0.9128153953018407,0.36841193487796364,0.059228683065376514,0.6259036647406331,0.7608155146693187
datafly,125,0.11111111111111116,0.054878048780487805,0.24268947682514422,0.9547856726794023,0.5536566260338416,0.06400937983668677,0.5723906802040685,0.5012431626056688
datafly,126,0.17888678911654843,0.06707317073170732,0.24892248524633645,0.8859271174110811,0.285808709532853,0.06290095476297909,0.730052240363236,0.5184816840709432
datafly,127,0.15706435249651884,0.06707317073170732,0.24892248524633645,0.8745171406604983,0.24624719637754283,0.0625434476321091,0.7640083325538054,0.7100944803580308
datafly,128,0.18511289039188383,0.06707317073170732,0.2487235594456601,0.856110198557082,0.2121389401416424,0.06014387146805625,0.7421609233448224,0.722526106414719
datafly,129,0.15328890657118233,0.07926829268292683,0.24892248524633645,0.8975673043181692,0.3432572017302003,0.06260798732912733,0.6865201154181029,0.501408917619758
datafly,130,0.19281297659306407,0.06097560975609756,0.24892248524633645,0.8550507597524112,0.2047133706000769,0.05950949223785057,0.7729959776359436,0.5103596883805736
datafly,131,0.16082460270097032,0.036585365853658534,0.24892248524633645,0.9248861710936476,0.43211798080256764,0.061189343803623036,0.5836124283134134,0.5007458975634013
datafly,132,0.1986895762880445,0.07317073170731707,0.24892248524633645,0.8779886292636744,0.25506588406426,0.0593750555941008,0.6814918005655775,0.5222940493949942
datafly,133,0.23007979134893797,0.06097560975609756,0.24892248524633645,0.8416850935429386,0.19841237618783727,0.056543455988070916,0.778637073388356,0.4520139234211835
datafly,134,0.15666419851321367,0.07926829268292683,0.22544924076652742,0.917505103018469,0.41505505792448205,0.058378228096732925,0.6321533679203875,0.7659539201060832
