algo,no,precision,dm,cm,entropy,discern,ilm,auroc,lr_acc
datafly,1,0.18419562142209844,0.06707317073170732,0.24892248524633645,0.882859500041442,0.2793941493865624,0.05853814200067603,0.768798687514841,0.6965025692027184
datafly,2,0.1670147868178503,0.07926829268292683,0.24892248524633645,0.9256700494407717,0.43659168325184095,0.06624997371915234,0.6392210717189669,0.5443394662688547
datafly,3,0.1690454876997547,0.07317073170731707,0.24892248524633645,0.8769760959521543,0.2560379947004211,0.06527451625719759,0.7255274765601951,0.6621912812862589
datafly,4,0.125319110138585,0.036585365853658534,0.24892248524633645,0.943589628176063,0.5119140431427821,0.06248832523883226,0.6206489030243285,0.5032322227747389
datafly,5,0.19676938973984925,0.07926829268292683,0.248856176646111,0.8317573301939222,0.23646819035396863,0.058764730078174066,0.7808688018535974,0.7197082711752031
datafly,6,0.13567292177795465,0.042682926829268296,0.24892248524633645,0.8957142115563214,0.30237439925061127,0.06336538788105207,0.6912763630345462,0.5383722857616443
datafly,7,0.1835643082907853,0.07926829268292683,0.24892248524633645,0.8973027500329982,0.3000763298562187,0.05929985193774755,0.6575618285566261,0.5007458975634013
datafly,8,0.1695303693389033,0.08536585365853659,0.24888933094622373,0.8986085556444932,0.33565115768700005,0.06203695168043782,0.6361474531024012,0.5007458975634013
datafly,9,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9311360658999189,0.46010844755958125,0.06509553694601995,0.630060587308326,0.5007458975634013
datafly,10,0.21592704948831865,0.07317073170731707,0.24892248524633645,0.8605217077200357,0.20661163839880609,0.058130505837582745,0.7639761680326395,0.6383225592574175
datafly,11,0.1545446256879517,0.13414634146341464,0.24215900802334062,0.8758571199824802,0.24278187182051175,0.061800812412289,0.6925064580889814,0.5007458975634013
datafly,12,0.17114387861105584,0.07926829268292683,0.22544924076652742,0.9242824857279965,0.4422996903299114,0.059744503663954486,0.6635396084131451,0.7661196751201724
datafly,13,0.15666419851321367,0.13414634146341464,0.24892248524633645,0.8766898511872157,0.2322459426389234,0.06087643413628027,0.6852287134911097,0.5007458975634013
datafly,14,0.2580901097038951,0.0975609756097561,0.23340627279358134,0.8031292933514842,0.11504747690939629,0.05432300064745227,0.7942934239024847,0.7182164760484004
datafly,15,0.12506216431271133,0.04878048780487805,0.22544924076652742,0.9488267293480563,0.5326417264109089,0.0617540282474637,0.6543510609974599,0.7659539201060832
datafly,16,0.20301759388192653,0.07317073170731707,0.22544924076652742,0.9192239007404571,0.41155673735323495,0.05625733842130544,0.6643859598627071,0.7664511851483508
datafly,17,0.12520721437570448,0.04878048780487805,0.22544924076652742,0.9484413733564849,0.5325889182786228,0.06174872153784199,0.6539239996258266,0.7659539201060832
datafly,18,0.1827962336715072,0.054878048780487805,0.24772893044227837,0.8415141911701091,0.1881303331877235,0.06003750479120071,0.7839886164938513,0.49925410243659873
datafly,19,0.18511289039188383,0.06707317073170732,0.2487235594456601,0.8541817976673876,0.20718251627098777,0.059924810494872395,0.7661685363343959,0.7198740261892922
datafly,20,0.15664623993398596,0.11585365853658537,0.24219216232345336,0.9130491837022091,0.3961417992949691,0.05877940270911064,0.6484941679319004,0.523951599535886
datafly,21,0.1927871899151986,0.06097560975609756,0.24892248524633645,0.8776341599774187,0.26647527879213756,0.05833615347044658,0.6612728371698101,0.5247803746063319
datafly,22,0.12502901001259858,0.04878048780487805,0.24892248524633645,0.9138423755636241,0.3277002746273498,0.06498667358863763,0.7387022659077662,0.6678269517652909
datafly,23,0.17489860309882188,0.1524390243902439,0.247894701942842,0.8619537100024942,0.23879151953937608,0.06107172105035887,0.7446380232131421,0.5831261395657219
datafly,24,0.1878356872886413,0.07317073170731707,0.24892248524633645,0.8320249372367265,0.22498006817822047,0.06075503931884356,0.7732410612133293,0.6860600033151003
datafly,25,0.18914113785557984,0.06707317073170732,0.24892248524633645,0.8684388318606635,0.23568152483628171,0.0604844779922834,0.7711697955718018,0.718713741090668
datafly,26,0.1770467254602922,0.06707317073170732,0.24892248524633645,0.8661007291443383,0.23888494119465692,0.06455595071168536,0.746486511768473,0.39864080888446873
datafly,27,0.15401415688614817,0.06707317073170732,0.24892248524633645,0.8852287959518302,0.28743580061430846,0.061191702341232675,0.6529049527606081,0.5007458975634013
datafly,28,0.14343931657936038,0.042682926829268296,0.24892248524633645,0.9043067427660118,0.32860998544556785,0.0630150035337632,0.741931814093385,0.722526106414719
datafly,29,0.11111111111111116,0.054878048780487805,0.2300245341820834,0.9504549876727445,0.5379821584622008,0.06249529977147792,0.6451925194102451,0.7608155146693187
datafly,30,0.15893572854732607,0.11585365853658537,0.23625754260327564,0.8788298940421242,0.24427268314173992,0.05978826380229688,0.7408688018535975,0.5824631195093651
datafly,31,0.16849844174789474,0.07317073170731707,0.24892248524633645,0.9005711099456023,0.30627315016427814,0.06431662990043469,0.7230558453800379,0.5038952428310957
datafly,32,0.24506921881101318,0.12804878048780488,0.2265101783701346,0.7531318601612901,0.0578360859932278,0.05513485231656505,0.8084979096659063,0.4684236698160119
datafly,33,0.16666666666666663,0.12804878048780488,0.21198859492076122,0.8670486216897481,0.21669399494657327,0.05336083522959762,0.8067261266576959,0.7662854301342615
datafly,34,0.25921275114382336,0.09146341463414634,0.2325774152907632,0.7874547279946269,0.09785910806134639,0.053420263638681756,0.7999081116475861,0.5103596883805736
datafly,35,0.20600009946290032,0.10975609756097561,0.24892248524633645,0.834295510556828,0.23524427323714237,0.06266399922801694,0.6815556978693701,0.5057185479860766
datafly,36,0.2065733925690162,0.07926829268292683,0.22989191698163253,0.9172739855464758,0.41236739637476316,0.056538644571347246,0.6552306563145359,0.7616442897397646
datafly,37,0.12569071458568182,0.054878048780487805,0.22544924076652742,0.9483164570480983,0.532564010234045,0.061742757807029036,0.6543088225770473,0.7641306149511022
datafly,38,0.16450334858431137,0.04878048780487805,0.20675021550295072,0.9409289555191743,0.5007510687782515,0.06102988981451382,0.6881203543134278,0.781700646444555
datafly,39,0.12506216431271133,0.04878048780487805,0.2300245341820834,0.9502187029739996,0.5379717841407213,0.06248802199828245,0.6460475775870133,0.7611470246974971
datafly,40,0.11111111111111116,0.054878048780487805,0.24892248524633645,0.9296478705564043,0.42086969033971633,0.0667743777099597,0.6463015118044513,0.5007458975634013
datafly,41,0.2191568308909666,0.054878048780487805,0.24892248524633645,0.83866474023187,0.19457640981477908,0.058285188842041584,0.7338846394623416,0.3935024034477043
datafly,42,0.12889148597573108,0.036585365853658534,0.24892248524633645,0.9263920895630867,0.4402977276815226,0.06633296054961743,0.628233973505645,0.5007458975634013
datafly,43,0.15401415688614817,0.07926829268292683,0.24892248524633645,0.9099059088308569,0.348999723927412,0.059235177467151644,0.6280034251257438,0.5007458975634013
datafly,44,0.23593428817717654,0.11585365853658537,0.22060871295006962,0.8030795216369304,0.0984413825180904,0.05616513074550645,0.736270786411749,0.46974970992872533
datafly,45,0.1886023804787481,0.07317073170731707,0.24892248524633645,0.8961384781648267,0.3751266138780563,0.06062919786001122,0.6308082145452714,0.5007458975634013
datafly,46,0.2163801582565259,0.09146341463414634,0.248856176646111,0.8257754350288123,0.17305880297759163,0.05341224798014841,0.7006099026429594,0.5304160450853639
datafly,47,0.16828293879716194,0.07317073170731707,0.24892248524633645,0.9157527936947625,0.4159964786840054,0.06446584109763913,0.6505942880991272,0.5007458975634013
datafly,48,0.15453311377819035,0.13414634146341464,0.23522975929978118,0.9033586986022237,0.34231321761851646,0.059528609027511614,0.6496454707029424,0.5007458975634013
datafly,49,0.1388796793610798,0.06707317073170732,0.24892248524633645,0.8195717652647538,0.21956752810732133,0.06351824807287261,0.7846311153965159,0.5957235206364992
datafly,50,0.19228112636208916,0.09146341463414634,0.20675021550295072,0.9176030705279553,0.39999772947674844,0.06071911879104866,0.6957571614630179,0.7800430963036632
datafly,51,0.18831642464027587,0.07926829268292683,0.24892248524633645,0.8602235480433453,0.19887764658910753,0.06007315240250075,0.7477613637181322,0.6986573843858777
datafly,52,0.16739329841080386,0.07317073170731707,0.248856176646111,0.9222606440785874,0.39930627952117165,0.063990781082965,0.6266609341382858,0.5009116525774905
datafly,53,0.15666419851321367,0.10975609756097561,0.235130296399443,0.9117337622373065,0.39729238827173435,0.06140301467603397,0.652376864570816,0.5241173545499751
datafly,54,0.1529822292951396,0.08536585365853659,0.22544924076652742,0.9075673450818367,0.36583553292471743,0.060636455417170054,0.6997180747339411,0.7661196751201724
datafly,55,0.12630268770859576,0.04878048780487805,0.24892248524633645,0.9206451106614416,0.3920646469852312,0.06491355892273862,0.6558889136738791,0.5007458975634013
datafly,56,0.16892115907433192,0.06707317073170732,0.24888933094622373,0.8867232313325366,0.2901578167988567,0.060959012390004536,0.761387175926259,0.4922923918448533
datafly,57,0.1728692836460889,0.07926829268292683,0.22544924076652742,0.8841329661036877,0.24482399072152697,0.059806223223859464,0.7772107531678816,0.765788165091994
datafly,58,0.22183680348341184,0.10365853658536585,0.24892248524633645,0.8307723382831609,0.18309254377091994,0.05630705976345622,0.7195400545429687,0.5035637328029173
datafly,59,0.1388796793610798,0.09146341463414634,0.2300245341820834,0.9077642066651213,0.33166143195420544,0.061276626541877106,0.6890566512919775,0.7608155146693187
datafly,60,0.22744264306080497,0.10975609756097561,0.24892248524633645,0.8281427363572179,0.2067608514358428,0.059314134567643687,0.735260590186583,0.4937841869716559
datafly,61,0.15401415688614817,0.06707317073170732,0.24892248524633645,0.8864894401649711,0.3262116001657271,0.05943876980295563,0.6521443014110654,0.5065473230565225
datafly,62,0.17430182569679287,0.07317073170731707,0.24882302234599826,0.8935149800915994,0.3175422750082824,0.06408955326871749,0.643174429565455,0.5045582628874523
datafly,63,0.12520030722984776,0.054878048780487805,0.22985876268151978,0.9504908488108293,0.5379968394791196,0.06249277276689616,0.6459071186489461,0.7616442897397646
datafly,64,0.20724753000464158,0.06707317073170732,0.24892248524633645,0.8641024646202212,0.23258421279066033,0.05928306251930632,0.7279211789340375,0.4011271340958064
datafly,65,0.1531627360401977,0.07317073170731707,0.2300245341820834,0.9362629906586981,0.49005873114657234,0.057913385603917705,0.6475321105538485,0.7616442897397646
