algo,no,auroc,lr_acc
datafly,1,0.7734808200153986,0.7430797281617769
datafly_shuffled,1,0.7196951925913667,0.7425824631195094
mondrian,1,0.8290459297849222,0.7808718713741091
datafly,2,0.5526913141401567,0.7425824631195094
datafly_shuffled,2,0.7056038942816231,0.7195425161611139
mondrian,2,0.7944198513380297,0.7561743742748218
datafly,3,0.6890674447554561,0.7391016078236367
datafly_shuffled,3,0.6638115317363805,0.7749046908668987
mondrian,3,0.7875036158102653,0.7208685562738273
datafly,4,0.6091927928446532,0.7430797281617769
datafly_shuffled,4,0.6284371064883107,0.7430797281617769
mondrian,4,0.8363496506515655,0.7765622410077905
datafly,5,0.7788003425125744,0.7430797281617769
datafly_shuffled,5,0.7937523835565183,0.7434112381899552
mondrian,5,0.8713692587768846,0.8108735289242499
datafly,6,0.6718695717873255,0.7430797281617769
datafly_shuffled,6,0.570146503277615,0.7430797281617769
mondrian,6,0.8034657091665287,0.762970329852478
datafly,7,0.6544460434760709,0.7425824631195094
datafly_shuffled,7,0.6501289459103566,0.7430797281617769
mondrian,7,0.7770856929043771,0.7556771092325543
datafly,8,0.5556096507954783,0.7425824631195094
datafly_shuffled,8,0.7603233721658162,0.7430797281617769
mondrian,8,0.8516177962625834,0.7974473727830267
datafly,9,0.630049218193462,0.7430797281617769
datafly_shuffled,9,0.7356861404733293,0.734626222443229
mondrian,9,0.845605765148626,0.8035803083043263
datafly,10,0.716919905305347,0.7415879330349743
datafly_shuffled,10,0.6187328473876221,0.7430797281617769
mondrian,10,0.8528702697646305,0.8105420188960716
datafly,11,0.6996574154691919,0.7430797281617769
datafly_shuffled,11,0.6333947601332632,0.742250953091331
mondrian,11,0.8735442136242292,0.7865075418531411
datafly,12,0.6365437890813324,0.7661196751201724
datafly_shuffled,12,0.7576073050160823,0.7430797281617769
mondrian,12,0.8235955185539636,0.7889938670644787
datafly,13,0.687596583509027,0.7430797281617769
datafly_shuffled,13,0.7594114684147281,0.7430797281617769
mondrian,13,0.8520556510976951,0.7936350074589756
datafly,14,0.7948618796456866,0.7619757997679429
datafly_shuffled,14,0.7495322832492641,0.7165589259075087
mondrian,14,0.8298754434314579,0.8000994530084535
datafly,15,0.6279988918710828,0.7642963699651915
datafly_shuffled,15,0.6437413742237701,0.7430797281617769
mondrian,15,0.8323096572715563,0.7841869716558926
datafly,16,0.6443016988911514,0.7659539201060832
datafly_shuffled,16,0.7983178746950848,0.7452345433449362
mondrian,16,0.8427267167003663,0.7938007624730649
datafly,17,0.6279988918710828,0.7659539201060832
datafly_shuffled,17,0.8008534031790348,0.7787170561909498
mondrian,17,0.8544346024047837,0.805237858445218
datafly,18,0.7846494642844294,0.7442400132604011
datafly_shuffled,18,0.646714685586409,0.7430797281617769
mondrian,18,0.8209956610276817,0.7825294215150008
datafly,19,0.7596112194455038,0.7430797281617769
datafly_shuffled,19,0.7532507753304599,0.7387700977954583
mondrian,19,0.8662702827167867,0.7919774573180839
datafly,20,0.643183064336238,0.7414221780208852
datafly_shuffled,20,0.5806227828427104,0.7449030333167578
mondrian,20,0.8378148273405626,0.7644621249792807
datafly,21,0.6463189972152864,0.7430797281617769
datafly_shuffled,21,0.6631083016125434,0.7427482181335986
mondrian,21,0.8393062681240241,0.8007624730648102
datafly,22,0.6810345174962044,0.7376098126968341
datafly_shuffled,22,0.659088240161758,0.7440742582463119
mondrian,22,0.8444634569304829,0.773247140726007
datafly,23,0.6833651860433323,0.7440742582463119
datafly_shuffled,23,0.6882097241910299,0.7815348914304657
mondrian,23,0.8505683837867786,0.7994364329520968
datafly,24,0.7649599562504947,0.7430797281617769
datafly_shuffled,24,0.6308280025616487,0.7430797281617769
mondrian,24,0.8589473494851518,0.8112050389524283
datafly,25,0.7639832917185353,0.7430797281617769
datafly_shuffled,25,0.7518386305253539,0.7301508370628211
mondrian,25,0.8440829513646536,0.783689706613625
datafly,26,0.7324354370992927,0.7152328857947953
datafly_shuffled,26,0.6622343188964763,0.7427482181335986
mondrian,26,0.8549213156512416,0.7891596220785678
datafly,27,0.6466406424269463,0.7430797281617769
datafly_shuffled,27,0.6257091665287502,0.779877341289574
mondrian,27,0.8434906780453757,0.8068954085861098
datafly,28,0.7079997553481612,0.7430797281617769
datafly_shuffled,28,0.7522648284199089,0.7248466766119676
mondrian,28,0.8408440488440203,0.7944637825294215
datafly,29,0.6080833687119082,0.7608155146693187
datafly_shuffled,29,0.7241193613147878,0.7669484501906183
mondrian,29,0.8593833334532608,0.7956240676280457
datafly,30,0.7338572240651062,0.727167246809216
datafly_shuffled,30,0.6404495117756687,0.7430797281617769
mondrian,30,0.8718975628359465,0.8189955246146196
datafly,31,0.6938879494578084,0.7430797281617769
datafly_shuffled,31,0.6412954314866917,0.7528592739930383
mondrian,31,0.8505152079900413,0.8112050389524283
datafly,32,0.8032852424571679,0.7458975634012929
datafly_shuffled,32,0.6813808437610183,0.7430797281617769
mondrian,32,0.8508308088621531,0.7896568871208354
datafly,33,0.7661614846049233,0.7546825791480192
datafly_shuffled,33,0.6869992012837026,0.7775567710923256
mondrian,33,0.8755856893065559,0.8196585446709763
datafly,34,0.7991052218776309,0.7442400132604011
datafly_shuffled,34,0.5375118907989321,0.7430797281617769
mondrian,34,0.8310689846229125,0.7956240676280457
datafly,35,0.6323624013297546,0.7425824631195094
datafly_shuffled,35,0.6156268483806208,0.7606497596552295
mondrian,35,0.8110116353536299,0.7765622410077905
datafly,36,0.626521698459413,0.760981269683408
datafly_shuffled,36,0.6871978010117074,0.7785513011768606
mondrian,36,0.794391572463716,0.7599867395988729
datafly,37,0.6279988918710828,0.7641306149511022
datafly_shuffled,37,0.6584520734243342,0.7417536880490635
mondrian,37,0.866762824433523,0.8135256091496768
datafly,38,0.6882339015492218,0.7856787667826952
datafly_shuffled,38,0.6735063645456312,0.7760649759655229
mondrian,38,0.8583013966741743,0.7783855461627714
datafly,39,0.6080833687119082,0.7611470246974971
datafly_shuffled,39,0.7774058270311499,0.7813691364163766
mondrian,39,0.845246198901945,0.8029172882479695
datafly,40,0.6358974045318155,0.7429139731476877
datafly_shuffled,40,0.7117737258316363,0.7407591579645284
mondrian,40,0.7818866974160448,0.757334659373446
datafly,41,0.7106362386938471,0.7155643958229736
datafly_shuffled,41,0.6774915271311694,0.7440742582463119
mondrian,41,0.8479458599871919,0.789325377092657
datafly,42,0.6238838479416866,0.7430797281617769
datafly_shuffled,42,0.7603992142358587,0.7430797281617769
mondrian,42,0.8347663215156901,0.7729156306978286
datafly,43,0.603184575421125,0.7430797281617769
datafly_shuffled,43,0.6639432119908183,0.7430797281617769
mondrian,43,0.8036255963388572,0.7749046908668987
datafly,44,0.7237985795802062,0.739433117851815
datafly_shuffled,44,0.6583026918897914,0.7430797281617769
mondrian,44,0.798496614450289,0.7526935189789491
datafly,45,0.7201668669453778,0.7430797281617769
datafly_shuffled,45,0.7838670820950833,0.7430797281617769
mondrian,45,0.851436753901837,0.801425493121167
datafly,46,0.6732329301375087,0.7430797281617769
datafly_shuffled,46,0.7150874630323876,0.7377755677109232
mondrian,46,0.8578670677037985,0.7962870876844025
datafly,47,0.5427797485842574,0.7430797281617769
datafly_shuffled,47,0.6920347837349701,0.7452345433449362
mondrian,47,0.8589290005972383,0.7959555776562242
datafly,48,0.6305581659746857,0.7442400132604011
datafly_shuffled,48,0.7667528944471228,0.7430797281617769
mondrian,48,0.853613795485454,0.7951268025857782
datafly,49,0.7650092464003799,0.7424167081054202
datafly_shuffled,49,0.7492355349600281,0.7430797281617769
mondrian,49,0.8203740294877422,0.785513011768606
datafly,50,0.6931521950306895,0.7810376263881983
datafly_shuffled,50,0.6467853467939816,0.7429139731476877
mondrian,50,0.8670664085829621,0.8077241836565556
datafly,51,0.7267055471206637,0.7430797281617769
datafly_shuffled,51,0.7497634072805509,0.7382728327531908
mondrian,51,0.8354771790203852,0.792971987402619
datafly,52,0.598033358997791,0.7430797281617769
datafly_shuffled,52,0.7841424593266318,0.7351234874854964
mondrian,52,0.8441731127629108,0.8092159787833582
datafly,53,0.6479967331783872,0.743245483175866
datafly_shuffled,53,0.7763393608830492,0.7425824631195094
mondrian,53,0.8105502507681347,0.779877341289574
datafly,54,0.6110720787491095,0.7661196751201724
datafly_shuffled,54,0.7524618451066035,0.7430797281617769
mondrian,54,0.8499104142531284,0.8160119343610144
datafly,55,0.6541340404251186,0.7429139731476877
datafly_shuffled,55,0.7100282069178905,0.7152328857947953
mondrian,55,0.7745011620962345,0.7787170561909498
datafly,56,0.751021925122146,0.73843858776728
datafly_shuffled,56,0.6443121325725141,0.7430797281617769
mondrian,56,0.8300823901045526,0.7841869716558926
datafly,57,0.7703212854295438,0.765788165091994
datafly_shuffled,57,0.6296976391097551,0.7430797281617769
mondrian,57,0.8208765011908787,0.7565058843030001
datafly,58,0.6878100062602088,0.7430797281617769
datafly_shuffled,58,0.7814456764983126,0.7430797281617769
mondrian,58,0.8486173573284019,0.7918117023039947
